date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:23	16832/16832	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:21%20GMT	http://killtowndeathfest.com/partners/	killtowndeathfest.com/partners/index.html	(from http://killtowndeathfest.com/news/)
22:55:23	25157/25157	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:22%20GMT	http://killtowndeathfest.com/past/	killtowndeathfest.com/past/index.html	(from http://killtowndeathfest.com/news/)
22:55:23	15695/15695	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:22%20GMT	http://killtowndeathfest.com/contact/	killtowndeathfest.com/contact/index.html	(from http://killtowndeathfest.com/news/)
22:55:25	53016/53016	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:23%20GMT	http://killtowndeathfest.com/author/ktdf2018/	killtowndeathfest.com/author/ktdf2018/index.html	(from http://killtowndeathfest.com/news/)
22:55:25	20135/20135	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:23%20GMT	http://killtowndeathfest.com/2019/07/25/631/	killtowndeathfest.com/2019/07/25/631/index.html	(from http://killtowndeathfest.com/news/)
22:55:26	53014/53014	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:24%20GMT	http://killtowndeathfest.com/category/news/	killtowndeathfest.com/category/news/index.html	(from http://killtowndeathfest.com/news/)
22:55:26	23331/23331	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:24%20GMT	http://killtowndeathfest.com/2019/02/20/final-announcement-the-ktdf-vii-the-decompomorphosis-line-up-poster/	killtowndeathfest.com/2019/02/20/final-announcement-the-ktdf-vii-the-decompomorphosis-line-up-poster/index.html	(from http://killtowndeathfest.com/news/)
22:55:27	21525/21525	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:25%20GMT	http://killtowndeathfest.com/2019/02/20/announcement-40-grave-swe-performing-an-old-school-set-of-demo-tracks-and-songs-from-into-the-grave-thursday-5th-september/	killtowndeathfest.com/2019/02/20/announcement-40-grave-swe-performing-an-old-school-set-of-demo-tracks-and-songs-from-into-the-grave-thursday-5th-september/index.html	(from http://killtowndeathfest.com/news/)
22:55:27	22410/22410	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:26%20GMT	http://killtowndeathfest.com/2019/02/18/announcement-39-the-mighty-funebrarum-us-returns-to-ktdf/	killtowndeathfest.com/2019/02/18/announcement-39-the-mighty-funebrarum-us-returns-to-ktdf/index.html	(from http://killtowndeathfest.com/news/)
22:55:28	20591/20591	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:55:27%20GMT	http://killtowndeathfest.com/2019/02/16/anouncement-37-first-show-since-2014-for-swedens-necrovation/	killtowndeathfest.com/2019/02/16/anouncement-37-first-show-since-2014-for-swedens-necrovation/index.html	(from http://killtowndeathfest.com/news/)
